,text
17,想必昨天KPL的比赛大家应该都看了，其中最受玩家关注的焦点比赛，自然就是成都AG超玩会对战北京WB，在双方鏖战五局之后，最终北京WB以3:2击败成都AG超玩会，成为首个确定晋级夏季赛季后赛的队伍，同时也确定获得了冠军杯挑战赛的资格，对于北京WB来说这自然是好事。
18,而对于成都AG超玩会来说，虽然以一分之差输掉了比赛，但是大家似乎都还能够接受，毕竟相较于上一场和佛山GK的对战，这场能够打满5局已经是相当不易了，而且北京WB本身也是S组的强队之一，这足以说明成都AG超玩会的确是进步相当之大。
19,虽然有很大的进步，但成都AG超玩会接下来面对的对手，也是压力十分的大，首先就要面对的是公认实力最强的队伍武汉ESTAR，后面和重庆狼队的对战更是生死战，将直接决定谁去打卡位赛，所以找出问题则是必须的。
20,在整场比赛中，5个人中问题最大的当属对抗路忆安，5局比赛没有哪一个英雄是十分亮眼的，即便是第1把拿下MVP的蒙恬，也是掉点严重，剩下的除了项羽偶有不错的发挥之外，其他的诸如马超、吕布和廉颇，基本都是毫无配合、各种掉点等等。
21,其实成都AG超玩会的对抗路，一直都有一个很大的弊端，那就是没有很好的经济分配，基本上都处于整个队伍的末端，自从6.6开始就是如此，这个赛季虽然相对来说有所改善，但这个老毛病还是经常会出现，坦边如果没有足够的经济，那么在抗伤方面就会非常的差，非常容易被秒掉。
22,其次就是爱思，整场比赛看下来，爱思的问题也比较大，爱思的软辅能够有着不错的节奏，无论是大乔还是孙膑，能够帮助队伍做出很好的运营决策，但爱思的硬辅就问题比较大了，所使用的张飞、牛魔以及东皇太一，作为需要开团的辅助英雄，基本上都是最后被动接团，东皇偶有几次想要开团，但最终都出现了失误。
23,感觉爱思自从去了AOV后，状态和水平都有大幅度的下降，可能在赛场上也不会征战多久了，不过成都AG超玩会现在也没有更好的辅助，爱思虽然有着一定的问题，但是至少在运营和指挥上，还是能够帮助成都AG超玩会起到很大作用的。
24,再次是一诺，一诺在整场比赛中的表现，整体来说中规中矩，除了第1局的李元芳有一定的高光表现之外，其他的几局英雄，基本上都没有打出想要的效果，当然了，这也和对方给一诺的特殊照顾有关，毕竟禁掉了5局马可，可谓是给到了一诺足够的照顾。
25,而在对局中，一诺的射手基本上都没有特别好的发挥空间，尤其是最后一局的公孙离，面对着线上强势的鲁班七号，在自身辅助需要照顾野区的情况下，基本上没有还手之力，其他几局也大抵如此。
26,然后是久诚，久诚的表现还算是不错的，因为相对来说，这个版本的中单很难起到特别大的作用，所以久诚目前的表现已经算是比较可以了，尤其是使用到火舞，多次打出了精彩的表现，要知道久诚的火舞可是被诟病了很多次了，大家也一度都称久诚不会法刺，然后久诚也顺利的用火舞拿下了MVP。
27,久诚在这个赛季，明显实力回升了不少，高光表现也日益加多，最为关键的是，久诚一直是一个相对来说比较稳的选手，这能够保证一支队伍的下限，从而为队伍做一个托底，所以目前来说，久诚基本上没有问题。
28,最后就是未央了，未央整场的表现可谓是非常出彩，真正的做到了敢打敢拼，也得到了很多人的认可，认为其是成都AG超玩会这支队伍，唯一一个媲美S组第一梯队打野的选手，成都AG超玩会总算是迎来了一个真正的野王。
29,未央的自身表现的确是很不错，但很可惜的是，只靠未央自己也很难，未央或许能够站出来一把两把，但是不可能把把都站出来，就像这场比赛中，未央的镜和宫本都算是站出来了，澜虽然也站出来了，但无奈对面马超太猛，但娜可露露和阿古朵都没有站出来，而队伍的其他人也没能站出来，最后就输掉了比赛。
30,所以总的来说，虽然有所进步，但存在的问题仍然不少，还需要进一步加强训练予以解决。
31,成都AG超玩会掉入A组之后，在今天即将迎来A组首轮比赛，对阵的则是XYG战队，这只战队也是之前从S组掉下来的，之后也基本上算是融入了A组，目前处于A组中部实力的水平，对上状态持续下降的成都AG超玩会，究竟谁胜谁负还不好说。
32,而在A组的首场比赛中，成都AG超玩会也是终于做出了改变，上场了两轮比赛的首发阵容，再次做出了一定的调整，将中路的久诚换了下去，重新换上了笑影，组成了新的首发阵容。
33,之所以换下久诚，其实倒也不算让人意外，毕竟久诚在AG进入S组之后，除了刚开始面对TTG有不少高光的表现之外，后面的表现可以说是持续下降，状态更是不停的下滑，感觉思路出了一定的问题。
34,而至于换上笑影，也算是无奈之举，之前很稳的笑影，如今也是状态不在，就上个赛季的表现而言，并没有比久诚好太多，只不过现在也没有其他人可用，只是试一试，看看能否有新的效果。
35,其实成都AG现在的问题，最大的并不是中路，由于版本节奏的问题，中路大多时候都是工具人和大法师，为团队服务较多，能够起关键节奏作用的时候比较少，只有当玩到不知火舞这种法刺的时候，才能带动一些节奏。
36,成都AG最大的问题其实是在于上辅 ，这也是谈及比较久的问题了，现在的对抗路基本上前期的节奏会很多，大多数队伍都是围绕着对抗路及野区来开始节奏的，但忆安显然还难以承担这个大任，各方面都还差了一些。
37,而后期的节奏，除了打野可能就是辅助了，但爱思的开团辅助一向都不算太好，比如经常使用的东皇，基本上每次使用奔狼或者闪现，都基本上摸不到对手，然后就陷入一个非常茫然的状态。
38,那么为什么只选择换掉了中路，还没有换掉对抗路和辅助呢？原因是成都AG无人可换，对抗路只有忆安一人，辅助CAT名场面太多，而打野未央的表现很好，射手一诺更是不会被换换下去，且这两个人的替补都已经被租借到了MD战队。
39,所以，只是换下久诚应该不会有太大区别，至于能否击败XYG拿下比赛，只能说有希望吧。那么，大家看好今天的XYG战队拿下比赛？还是AG拿下比赛呢？
40,AG对战XYG的比赛，不知道大家是否有观看呢？结果非常让人意外，很多人都看好的成都AG，被XYG直接3:0拿下，要知道XYG目前的状态也并不算好，但打AG却显得十分的猛，而算上前面的成绩， AG已经连续输掉了6局比赛了。
41,整局比赛看下来，最大的两个问题就在于，选手自身的状态以及彼此之间的配合，在游戏对局过程中，频繁出现选手上头的情况，比如忆安吕布追击酷偕夏侯敦，比如未央的镜残血换位等，说明在对局过程中不够冷静。
42,而彼此的配合更是稀烂，经常出现脱节的情况，似乎在整个三场游戏过程中，就没有认认真真打过几场团战，大部分时间都是提前掉点，最终无奈撤退，之前能够止损的未央，也很难再站出来了。
43,而在这局比赛中，AG更换了选手首发阵容，笑影上场换掉了久诚，而更换的效果是，久诚出战的时候，AG的崩盘基本都是从发育路开始，而笑影出战的时候，AG的崩盘则都是从野区开始，三场比赛看下来，很多人都有一个明显的感觉就是，未央逐渐变成了上个赛季的初晨，野区频繁被入侵。
44,那么，要想改变这种现状，AG需要怎么办呢？目前看来，唯一的途径就是更换选手，既然已经变成这样，不如通过轮换排列组合，或许还能找到一线生机。
45,只是比较可惜的是，AG目前的大名单上选手有限，有两位选手还被租借至K甲的MD战队，即便是轮换排列组合，也十分的困难。
46,目前的大名单上，对抗路仅有忆安一人，打野仅有未央一人，中路有久诚、笑影和云黎三人，射手仅有一诺一人，游走有爱思和猫神两人。
47,而目前已知的，只有一诺可以同时胜任发育路、打野以及对抗路位置，似乎无论怎样排列组合，都找不到比较满意的阵容，如果将一诺换到其他路，那么发育路就没有选手了。
48,但无论怎么样，AG需要尽快找回状态，第3轮的比赛每分都很重要，如果此次依旧无缘季后赛的话，那么AG就将无缘后面的挑战者 杯和冠军杯，要等到明年春季赛开打的时候才能再有比赛了，就真的是直接放假了。
49,KPL春季赛常规赛前四周的比赛已经结束了，成都AG超玩会在本赛季的表现只能说还凑合，第一阶段有进入S组的机会，可惜他们并没有把握住。开赛初期AG的状态很火热，但还是出现了滑坡。成绩一般的情况下，其实人气也会受到一定的影响，在最近的语音当中，主教练张角都在感叹人气下滑了。
50,最新一期的《王者炸麦了》当中放出了AG打MTG的比赛语音。那场比赛对于AG来说是最关键的一战，如果能零封对手就能进入S组，但很可惜AG并没有做到。这么重要的一场比赛，按理说应该有很多粉丝来现场看比赛，但是张角看到台下寥寥无几的观众，也在感叹观众比以前少了很多，这时候一诺接过话来，表示进入S组就好了。看来一诺也清楚，队伍一直在A组的话，人气和关注度都会受到一定的影响。
51,AG超玩会一直都是KPL人气最高的队伍，从梦泪时期开始一直延续到现在，即便是AG降级那段时间，也有大量观众看他们的比赛，甚至比KPL的关注度还要高。但现在的AG可能达不到那种级别了。一方面是AG曾经的情怀逐渐褪去，另一方面其他战队的成绩一直在变好，而AG已经很久没有进入S组了。
52,KPL现在的S、A、B分组赛制导致了比赛的观赏性出现了两极分化，S组的比赛很精彩，大家也都比较喜欢看，A组可能有一些人气队伍能吸引到关注度，至于B组的比赛看的人就非常少了。AG超玩会现在拥有这么高的人气主要是依靠以前的积累，但长期无缘S组，即便是AG，人气也会受到不小的影响。另外在各种荣誉体系的评选上，都是几乎被S组队伍包揽的，在A组打得再好恐怕也没有什么评选荣誉的机会。
53,张角看到人气下滑之后，其实也在语音当中鼓励了选手，要努力冲进S组，可惜AG目前还是没能做到。在第二阶段的第一场比赛AG战胜了南京HERO久竞，对于他们来说也是个好的开始。现在的AG主要问题还是状态不稳定，状态好的时候竞争力还是挺强的，但是状态差的时候真的让粉丝们看得着急。能不能把那种好状态一直保持下去，也是他们第二阶段能不能冲击S组的关键。
54,当然也还有一个因素就是现在疫情没有停止，线下观赛的观众还不是特别多，很多观众会选择在家里看直播。不仅仅是AG的比赛，其他队伍的比赛观众业没有之前那么多了，包括S组的比赛上座率其实也没有特别高了。
55,大家对于AG张角感叹人气下滑有何看法呢？欢迎在评论区一起讨论吧。
56,扬子晚报网8月6日讯（记者 孙云岳 张晨瑆 张昊 ) 昨日晚间，2022王者荣耀KPL夏季赛第三阶段，A组一场焦点对决，南京HERO对阵成都AG。凭借队员们的不懈努力，南京HERO在落后一局的情况下，连扳三局，最终以3-1的比分逆转成都AG. 南京HERO第三阶段的三连胜也让他们提前锁定了季后赛席位，并且拿到了世界冠军杯选拔赛的资格。
57,第一局，南京HERO首先就掏出大乔体系，配合版本强势打野宫本武藏，在加上廉颇、沈梦溪以及狄仁杰，为了应对大乔体系成都AG则是选择了张飞、蒙恬、公孙离这些有强制位移的英雄，配上兰陵王和干将莫邪。比赛开始，明锅的大乔被拿一血，但是紫幻为之报仇，击杀兰陵王，限制了其打野节奏，小赚一把。无奈，未央的兰陵王节奏非常好，对三条线形成威慑的同时，还频频入侵南京HERO的野区。中期，占据优势的成都AG进入推塔模式，并在10分钟左右的时候就率先将兵线推至南京HERO的三路高地塔。南京HERO方面，只能利用大乔的体系做单线偷带，做被动防守，等待装备成型。后期河道处，狄仁杰二连击破，大乔极限救援队友，南京HERO顺势拿下大龙对成都AG形成反推。17分钟，双方在南京HERO的红BUFF野区爆发团战，结果狄仁杰率先被击杀，南京HERO的输出跟不上，被成都AG打出一波二换四。随后，成都AG凭借人数优势，直接上高地，点掉水晶，有惊无险的拿下比赛。
58,第二局，南京HERO换上进攻型辅助一笙，并帮他选择开团辅助盾山，配上嬴政、虞姬、夏侯惇以及澜，而成都AG则选择了镜、西施、孙尚香、明世隐以及猪八戒。比赛开始，双方互相反野，且双方均防守成功，虞姬、孙尚香各自收获一个人头，前期双方各有盈亏，势均力敌。中期，双方都是反复拉扯，各自利用西施和盾山开团，但是始终没有一方能占到优势。后期，第19分钟，无畏站了出来，在中路绕后打出了零换二的关键团战，随后野区处再击杀孙尚香，南京HERO乘势拿下风暴龙王，凭借风暴先锋抱团压破中下两路高地。最后，高地决胜团，无畏的澜再次击杀对手核心C位，南京HERO顽胜，双方比分变成1-1.
59,第三局，成都AG选择了马超、阿骨朵的组合，配上定点控制东皇太一、嬴政和狄仁杰。南京HERO则是选择了铠、夏洛特，发育路是鲁班大师与黄忠的组合，并且紫幻再次拿出了小乔。比赛开始，星痕的夏洛特被三人“追杀”，极限逃生，但是成都AG被南京HERO反包，拿到“一血”。凭借小乔中路的视野控制，南京HERO前期拿到了小优势。中后，南京HERO利用小乔和黄忠的稳定输出，铠和夏洛特的后切，进入平推的节奏，人头和经济差越滚越大。最后双方野区爆发决胜团战，久酷的黄忠中路偷家，马超回防不及，南京HERO再下一城。
60,第四局，南京HERO选择战边关羽，配上周瑜、马可、橘右京以及东皇太一，成都AG选择了不知火舞、李元芳、盾山、澜和项羽。比赛开始，南京HERO入侵对手蓝BUFF，虽然拿到了盾山的“一血”，但是却折了己方的射手和辅助，代价不小。随后，成都AG抱团冲击上路，打出了1换3的团战。但是好景不长，换成成都AG入侵南京HERO，双方爆发团战，虽然澜和项羽连控完美开团，但是马可和周瑜完美配合，双C伤害打满，反而打出了二换四的团战，此前的劣势逐渐追回来了。中期，双方互有盈亏，处于均势的状态，显得十分胶着。17分钟，龙坑附近爆发决胜团，尽管一诺的李元芳斩获三连决胜，但关羽侧翼切入直劈后排，南京HERO边射存活，帮助队伍拿下比赛！
61,凭借本场的胜利，南京HERO也突围成功，确认季后赛的同时，也拿到了世界冠军杯选拔赛的资格。赛后，南京HERO主教练久哲也发文，声称将努力进入四强。自从久哲回归，南京HERO的韧性确实越来越强，今天的逆风翻盘，此前落选S组，依然能够A组三战三捷，足以证明目前全队心态和状态都处于一个很好的水平。接下来，对于南京HERO来说就是全力备战季后赛，从低谷重新回到巅峰。
62,校对 王菲
63,AG电子竞技俱乐部和平精英分部落地成都。成都AG和平精英官方供图
64,新京报讯（记者 赵雪）2月25日，AG电子竞技俱乐部和平精英分部宣布落地成都，正式更名为“成都AG和平精英”。之后，队伍将以成都为主场，参加2022PEL（和平精英职业联赛）春季赛及其他赛事。
65,AG电子竞技俱乐部创立于1999年，2009年成为职业电子竞技俱乐部，目前覆盖PC端、移动端在内的11款游戏项目。作为首批进入PEL的战队，AG曾先后获得2018年PMSC(PUBG MOBILE STAR CHALLENGE)全球总决赛亚军、2020年PELS1赛季总冠军等荣誉。2020-2021年度，AG蝉联“PEL年度最受欢迎俱乐部”称号。
66,在今年9月举办的2022年杭州亚运会上，以和平精英亚运版本为代表的8个电竞项目将作为正式竞赛项目亮相。社会认可度的不断提高、整个行业的快速前进等都为电子竞技的发展带来了更多可能，而将城市和赛事内容相结合，实现地域化绑定，是目前电竞发展的主流趋势之一。
67,此前PEL联盟已经进行过大型的地域化活动尝试，例如，和平精英两周年×PEL巡回赛及PSC（和平精英超级杯）赛事就分别落地重庆和上海。去年S4赛季时，联盟开始试行与城市进行地域化结合的构想，成都AG和平精英战队也做出了积极响应，在联盟中率先使用地域主题的手绘海报等包装赛事内容，并推出了第一款地域化视频栏目《蜀你最糕能》。
68,如今，随着AG和平精英分部落地成都主场，俱乐部与城市的联系进一步加强。据了解，战队还与城市本土电竞行业进行了沟通交流，制定了更为全面的线上＋线下全平台运营策略，后续将对城市多元的文化要素进行更深层次的挖掘，针对性打造系列地域活动。AG俱乐部负责人表示：“我们未来也会从各方面与政府、当地企业等探讨，为电竞与城市产业的深度结合贡献自己的力量。”
69,新京报记者 赵雪
70,编辑 韩双明 校对 刘军
71,2022年KPL春季赛常规赛第三轮第二周最后一场比赛由北京WB对阵成都AG超玩会，这是一场A组的比赛，两支战队同为1胜1负，此前北京WB零封过成都AG超玩会。最终，北京WB三比一战胜成都AG超玩会，北京WB避免连败的同时送给成都AG超玩会两连败。
72,第一局，1分半，花卷沈梦溪风筝死爱思东皇太一拿到一血，3分钟，WB三人入侵敌方蓝区，星宇兰陵王二技能爆死初晨镜，3分半，暖阳澜拿下先知主宰，乔兮马可波罗大招转两人转死东皇太一，马可波罗闪现调整位置转残一诺伽罗，沈梦溪大招将其拍死，啊泽吕布支援赶到大招带走马可波罗，4分半，WB入侵敌方红区带走东皇太一，4分50秒，镜野区沦陷再被兰陵王击杀，6分17秒，澜拿下暴君，东皇太一与兰陵王完成互换，6分40秒，梓墨夏侯惇+马可波罗带走镜，9分钟，澜拿下先知主宰，10分钟，兰陵王露头被镜大招定身带走，10分半，东皇太一咬中夏侯惇，伽罗点死夏侯惇，澜位置无敌三连决胜。
73,"
"
74,11分钟，澜拿下暗影暴君，12分钟，澜拿下暗影主宰，14分钟，AG上路高地被破，吕布跳大闪现一刀未能带走马可波罗，吕布倒地，澜连收两人二连击破，15分15秒，澜拿下暗影暴君，15分50秒，马可波罗拿下暗影主宰，WB双龙会，17分半，AG再掉中路高地，18分半，沈梦溪大招炸三人，马可波罗转大被东皇太一咬中，兰陵王绕后切死久诚嬴政，镜无经济身板过脆，兰陵王二连击破，AG三路高地全部被破，马可波罗一梭子带走吕布，夏侯惇大招定到伽罗将其击杀，AG被团灭，WB推掉敌方水晶，拿下首局比赛胜利。本局最佳给到北京WB.星宇的兰陵王
75,第二局，2分钟，啊泽吕布一打三塔下击杀花卷不知火舞拿到一血，2分20秒，初晨橘右京拿下暴君，3分20秒，暖阳镜反红被猪八戒二技能顶出大招范围，镜吃到塔伤后倒地，4分钟，爱思孙膑一技能炸死不知火舞，橘右京二技能定到星宇大乔，大乔未能坐上电梯倒地，4分半，猪八戒拿下先知主宰，5分40秒，镜+大乔带走橘右京，6分50秒，乔兮狄仁杰拿下暴君，8分半，狄仁杰黄牌命中猪八戒，梓墨吕布跳大留人，久诚杨玉环奶血不足，镜补足伤害带走猪八戒，9分钟，镜拿下先知主宰，9分半，狄仁杰黄牌再中猪八戒，吕布跳大跳出杨玉环大招，不知火舞+镜双双越塔带走杨玉环，无奈两人吃到塔伤倒地，猪八戒反打一技能拍死试图坐电梯的狄仁杰。
76,11分钟，大乔下路集结五人带走一诺李元芳，12分钟，双方对抗路互相拆火双双倒地，14分钟，镜抢下暗影主宰，15分钟，猪八戒逼出狄仁杰闪现，镜进场脱节被秒，残血吕布上头跳大被李元芳二闪规避，李元芳二连击破，15分半，猪八戒拿下暗影宝具，18分钟，橘右京拿下暗影主宰，镜偷掉AG下路高地，18分半，橘右京一刀捅出镜的复活甲，镜换人失败倒地，20分钟，WB中路高地被破，21分半，不知火舞进场被蹲到倒地，橘右京带走镜拿到双杀，22分钟，AG五打三推掉敌方水晶，扳回一局。本局最佳给到成都AG超玩会.啊泽的猪八戒
77,第三局，1分半，梓墨马超开疾跑戳草久诚西施，花卷周瑜烧死西施拿到一血，2分10秒，初晨露娜拿下暴君，2分40秒，AG三人下路抓死乔兮李元芳，3分钟，星宇张良帮上捏死啊泽蒙恬，露娜进场未能扛住伤害倒地，4分半，马超三枪戳死无闪现的西施，6分半，暖阳阿古朵拿下先知主宰，6分50秒，张良开加速捏死爱思太乙真人，8分钟，阿古朵拿下先知主宰，10分15秒，乔兮李元芳拿下暗影暴君，西施拉到周瑜，周瑜倒地，张良捏住露娜，李元芳滚脸将其带走，马超开疾跑戳死蒙恬，太乙真人控制给满，一诺蒙犽三连决胜，AG二换三WB。
78,11分半，西施闪现迁坟被周瑜烧死，12分钟，阿古朵拿下暗影主宰，13分钟，西施拉到阿古朵，阿古朵被秒，张良捏住露娜未能秒掉，丝血露娜反杀张良，马超收割两枪两个人头，14分钟，WB拿下暗影暴君，15分15秒，AG下路高地被破，15分45秒，马超戳死露娜，16分10秒，马超拿下暗影主宰，西施拉到张良逼出张良闪现，16分半，马超戳死无复活的太乙真人，AG再掉上路高地，17分钟，AG三路高地全部被破，蒙恬被周瑜活活烧死，露娜进场被张良捏死，17分半，李元芳四环爆死西施，阿古朵大招定身蒙犽，WB推掉敌方水晶，来到赛点局。本局最佳给到北京WB.星宇的张良
79,第四局，2分50秒，花卷弈星帮上大招框住啊泽梦奇，梓墨蒙恬戳死梦奇拿到一血，暖阳娜可露露反蓝配合弈星二技能带走久诚沈梦溪，初晨赵云拿下暴君止损，4分钟，娜可露露扑两人带走爱思蔡文姬，5分半，娜可露露进场先扑死梦奇，娜可露露点星宇鲁班大师链子拉开身位，娜可露露二度起飞扑死赵云，娜可露露再点链子撤退，7分20秒，娜可露露拿下暴君，8分钟，梦奇被集火倒地，沈梦溪闪现二一击杀鲁班大师，9分钟，娜可露露拿下先知主宰，9分10秒，鲁班大师蹲草拉两人，弈星大招框两人，蒙恬一枪带走AG射辅，娜可露露瞬秒赵云。
80,10分15秒，娜可露露拿下暗影主宰，11分钟，娜可露露拿下暗影暴君，WB双龙会，11分半，AG下路高地被破，14分钟，娜可露露拿下暗影主宰，15分钟，AG上路高地被破，15分半，娜可露露拿下暗影暴君，此时WB领先经济1W。16分半，AG三路高地全部被破，赵云扎两人无奈经济差距过大，赵云进场蒸发，弈星二技能拉到梦奇，虞姬大招将其踩死，鲁班大师一技能直接坐死公孙离，WB推掉敌方水晶，战胜AG。本局最佳给到北京WB.星宇的鲁班大师
81,要说这个赛季最让人心情大起大落的战队，那一定就是成都AG超玩会了，这支战队在最开始的时候给了我们无数的信心，到了最后又让我们看到了无尽的失落。成都AG超玩会，虽然说已经在本周结束了自己的六连败击败了上海EDGM，但是这根本没有办法改变他们现在的状态。他们现在的状态给人的感觉就是很迷，打游戏打的云里雾里的，连教练当初给他们的战术布置好像已经忘得一干二净了。
82,现在的成都AG超玩会看上去好像可以击败向上海EDGM这样的队伍，但是当他们面临真正的强队，比如说南京HERO久竞的时候，就会依然展示出他们滑稽而老套的那一些东西。现在的成都AG超玩会，虽然说进入季后赛还是有可能的，但是如果说不能把他们骨子里面的那种之前的战术完全的比弃掉的话，那么进入季后赛也不会有任何好的结果。
83,说实话，四保一这个战术打法真的是在成都AG超玩会身上体现的淋漓尽致，无论过了多少个版本，无论过了多少个赛季，这种打法似乎是已经刻在他们骨子里面的东西了。我们就可以看到在对战南京HERO久竞这支战队的时候，第二局比赛他们拿到了明世隐加上孙尚香的下路组合。拿到这个组合的一瞬间，似乎让他们骨子里面的那股基因苏醒了，开启了疯狂四保一的模式。我相信在现在这个版本，任何一个抗压的射手看到AG超玩会这样的射手待遇都会想要参加进来，渴望的自己有一天也能够被队友这样对待。但是任何一个穿梭在野区的野王，只要看到AG这种打法，都会十分庆幸自己跟这支战队没有任何关系。
84,未央作为现在公认的大腿，在这一局比赛之中，十分钟之后就再没有吃过红蓝BUFF。不管你未央的镜到底有多厉害，到底能不能带队伍起飞，但是你只能老老实实的去当保镖。其实作为新的粉丝去看这支队伍突然变成这样的打法的话，可能还会有一点好奇，但是如果作为老粉丝看到他们变成这样的祖传四保一，其实也没什么可奇怪的了。过了这么多赛季，换了这么多教练，感觉这支战队就算烧成灰也会告诉你，我们是四保一。
85,2.爱思抽象操作太秀
86,说实话，AG超玩会拿到那些阵容去玩四保一的时候，输赢我们都能够大概想象得到，就算输了比赛也没什么好抱怨的。但是让人觉得没办法理解的是爱思在这一周的表现真的是太抽象了，明明是一个资深的老辅助，有一定大赛经验的。在这一周的有几波操作甚至让人觉得他当时脑干已经被抽空了，这都不像是职业选手能打出来的操作，你可能只有在匹配才能看得见。虽然说目前来看成都超玩会还是有机会进入季后赛的，但是还是希望不管是教练还是选手，都需要帮助这支队伍快速的调整状态了。毕竟季后赛已经迫在眉睫了，季后赛的任何一场比赛也都是非常紧迫的。
87,每经记者：董兴生 每经编辑：宋红
88,今年9月8日，亚洲奥林匹克理事会（OCA）官网公布了8款入选2022年第19届亚运会的电竞比赛项目，这标志着电子竞技向传统体育的靠拢又迈出了一步。
89,实际上，除作为比赛项目进入亚运会赛程外，电竞向传统体育靠拢的方式还包括线下观赛、主客场、联盟化等。这也是腾讯电竞近年来力推的电竞地域化战略中的应有之义，截至目前，王者荣耀职业联赛（KPL）16支俱乐部均已实现地域化城市冠名，并有部分俱乐部拥有了自己的线下城市主场。
90,10月24日下午，成都AG超玩会主场揭幕战在成都中国－欧洲中心打响，AG超玩会主场场馆也正式启用。作为《王者荣耀》的发源地，正在建设电竞文化之都的成都，也将与电竞这项运动进一步交融。
91,图片来源：主办方供图
92,成都是《王者荣耀》的发源地，打造出这款经典手游的腾讯天美工作室就位于成都高新区。
93,2018年，王者荣耀职业联赛首次推出联盟主客场制度，成都被选定为西部主场。“在为期两年的时间里，西部主场共举办了300多场比赛，累积接待观众4万多人，为赛事发展积累了大量的用户群体，成都也是KPL迈出地域化发展的第一步。”腾讯天美电竞中心总经理、王者荣耀电竞负责人张易加表示。
94,曾经，成都和上海分别是KPL西部和东部两大主场 图片来源：主办方供图
95,在2020年王者荣耀电竞战略发布会上，KPL联盟宣布将会在六大城市开启俱乐部主场，其中原AG超玩会战队正式落户成都，并更名为成都AG超玩会，将以成都作为主场。
96,据了解，2021年，KPL所有常驻席位俱乐部已经全面完成了城市冠名，加上此次成都主场的落地，KPL俱乐部主场也增加到了7座。张易加说，依托俱乐部主场，将为当地市民带来更好的电竞参与体验。
97,作为一项新兴产业，成都一直十分注重电竞产业的健康发展。现场，成都市体育局相关负责人表示，2020年5月，成都市政府办公厅正式出台《关于推进“电竞＋”产业发展的实施意见》，正式开启了建设“电竞文化之都”的全新征程。
98,在该负责人看来，打造“电竞文化之都”，不仅是传统天府文化的现代表达，也是城市拥抱新青年、拥抱新经济、拥抱新生活的现实需要，更是世界文化名城建设的重要组成部分。
99,而AG将主场选择在成都，也可以为成都电竞产业的发展注入鲜活力量，推动成都电子竞技运动健康发展。
100,打造城市主场，让电竞俱乐部与城市发展互相成就，是腾讯电竞地域化策略的核心。
101,“AG诞生于成都、发展于成都，也将扎根于成都，俱乐部每一步的成长都离不开这座城市的滋养。”AG电子竞技俱乐部董事长乐可登表示。
102,AG电竞俱乐部最早成立于1999年，最初的主创团队也大都是四川人，“他们对成都的文化有充分的理解”。也是因此，在AG俱乐部可以看到火锅、串串、麻将、熊猫等大量四川元素。
